Filename,HiF,LoF,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),SB|Version,AccpCallQuality,Max#CallsConsidered,MonitoringNight
BANFF-MOBILE_20240630_234942_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240701_223704_000.wav,1,,,2,5,Myev/Myvo/Mylu,Myvo,Myev,Mylu,,39.05,3.78,3.06,0.72,9.2,72.34,34.83,18.4,7.89,13.46,108.72,Processed,BNP,2.93,,0.8,32,2024-07-01
BANFF-MOBILE_20240701_225556_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-01
BANFF-MOBILE_20240701_225603_000.wav,,,,3,6,Labo,Labo,Myvo,Mylu,,40.36,1.86,4.88,0.48,12.82,60.01,39.61,10.71,2.59,3.63,78,Processed,BNP,7.44,,0.8,32,2024-07-01
BANFF-MOBILE_20240701_225617_000.wav,1,,Epfu,12,14,,Epfu,Laci,,,26.16,1.2,8.93,1.72,14.93,50.76,25.16,5.6,1.21,2.51,66.96,Processed,BNP,15,,0.8,32,2024-07-01
BANFF-MOBILE_20240701_225817_000.wav,,1,,3,5,Epfu,Epfu,Laci,,,26.72,2.19,6.51,2.62,12.16,53.12,28,8.6,3.12,4.86,82.23,Processed,BNP,15,,0.8,32,2024-07-01
BANFF-MOBILE_20240701_225842_000.wav,1,,,11,21,Mylu,Mylu,Myvo,Labo,,40.96,2.08,5.61,0.95,12.49,68.55,38.77,9.82,3.3,4.94,80.05,Processed,BNP,15,,0.8,32,2024-07-01
BANFF-MOBILE_20240701_225857_000.wav,1,,,3,5,Myvo/Labo,Myvo,Labo,,,41.74,0.51,4.76,1.46,22.35,70.99,37.95,14.08,5.45,8.03,44.75,Processed,BNP,0.75,,0.8,32,2024-07-01
BANFF-MOBILE_20240701_225900_000.wav,,,Myvo,9,11,,Myvo,Mylu,Labo,,40.58,1.84,5.3,0.86,18.41,73.24,37.47,11.23,4.26,6.54,54.33,Processed,BNP,6.08,,0.8,32,2024-07-01
BANFF-MOBILE_20240701_225909_000.wav,,,,3,4,Epfu,Epfu,Lano,,,24.76,0.74,12.25,3.65,4.3,32.01,24.02,1.05,0.25,0.46,232.7,Processed,BNP,6.46,,0.8,32,2024-07-01
BANFF-MOBILE_20240702_223420_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_224753_000.wav,1,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_224819_000.wav,1,,,5,8,Mylu,Mylu,Labo,Myvo,,37.98,1.33,4.72,0.57,10.89,64.24,36.29,11.97,3.36,5.15,91.84,Processed,BNP,1.9,,0.8,32,2024-07-02
